## Combination-1 (သင်ရိုးသရ)

က ကာ ကိ ကီး ကု ကူး ကေး ကဲ့ ကော့ ကော် ကံ့ ကား။
ကွ ကွာ ကွိ ကွီး ကွေး ကွဲ့ ကွံ့ ကွား။

ခွ ခွါ ခွိ ခွီး ခွေး ခွဲ့ ခွံ့ ခွါး။

ဂွ ဂွါ ဂွိ ဂွီး ဂွေး ဂွဲ့ ဂွံ့ ဂွါး။

ဃွ ဃွာ ဃွိ ဃွီး ဃွေး ဃွဲ့ ဃွံ့ ဃွား။

ငွ ငွါ ငွိ ငွီး ငွေး ငွဲ့ ငွံ့ ငွါး။

စွ စွာ စွိ စွီး စွေး စွဲ့ စွံ့ စွား။

ဆွ ဆွာ ဆွိ ဆွီး ဆွေး ဆွဲ့ ဆွံ့ ဆွား။

ဇွ ဇွာ ဇွိ ဇွီး ဇွေး ဇွဲ့ ဇွံ့ ဇွား။

ဈွ ဈွာ ဈွိ ဈွီး ဈွေး ဈွဲ့ စွံ့ ဈွား။

ညွ ညွာ ညွိ ညွီး ညွေး ညွဲ့ ညွံ့ ညွား။

ဋွ ဋွာ ဋွိ ဋွီး ဋွေး ဋွဲ့ ဋွံ့ ဋွား။

ဌွ ဌွာ ဌွိ ဌွီး ဌွေး ဌွဲ့ ဌွံ့ ဌွား။

ဍွ ဍွာ ဍွိ ဍွီး ဍွေး ဍွဲ့ ဍွံ့ ဍွား။

ဎွ ဎွာ ဎွိ ဎွီး ဎွေး ဎွဲ့ ဎွံ့ ဎွား။

ဏွ ဏွာ ဏွိ ဏွီး ဏွေး ဏွဲ့ ဏွဲ့ ဏွား။

တွ တွာ တွိ တွီး တွေး တွဲ့ တွံ့ တွား။

ထွ ထွာ ထွိ ထွီး ထွေး ထွဲ့ ထွံ့ ထွား။

ဒွ ဒွါ ဒွိ ဒွီး ဒွေး ဒွဲ့ ဒွံ့ ဒွါး။

ဓွ ဓွာ ဓွိ ဓွီး ဓွေး ဓွဲ့ ဓွံ့ ဓွါး။

နွ နွာ နွိ နွီး နွေး နွဲ့ နွံ့ နွား။

ပွ ပွာ ပွိ ပွီး ပွေး ပွဲ့ ပွံ့ ပွား။

ဖွ ဖွာ ဖွိ ဖွီး ဖွေး ဖွဲ့ ဖွံ့ ဖွား။

ဗွ ဗွာ ဗွိ ဗွီး ဗွေး ဗွဲ့ ဗွံ့ ဗွား။

ဘွ ဘွာ ဘွိ ဘွီး ဘွေး ဘွဲ့ ဘွံ့ ဘွား။

မွ မွာ မွိ မွီး မွေး မွဲ့ မွံ့ မွား။

ယွ ယွာ ယွိ ယွီး ယွေး ယွဲ့ ယွံ့ ယွား။

ရွ ရွာ ရွိ ရွီး ရွေး ရွဲ့ ရွံ့ ရွား။

လွ လွာ လွိ လွီး လွေး လွဲ့ လွံ့ လွား။

သွ သွာ သွိ သွီး သွေး သွဲ့ သွံ့ သွား။

ဟွ ဟွာ ဟွိ ဟွီး ဟွေး ဟွဲ့ ဟွံ့ ဟွား။

ဠွ ဠွာ ဠွိ ဠွီး ဠွေး ဠွဲ့ ဠွံ့ ဠွား။

အွ အွာ အွိ အွီး အွေး အွဲ့ အွံ့ အွား။

## Combination-8 (ယပင်း-ဝဆွဲ-သရ)

ကျွ ကျွာ ကျွိ ကျွီး ကျွေး ကျွဲ့ ကျွံ့ ကျွား။

